Unnamed: 0,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,latitude,longitude,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,precip,humidity,visibility,cloudcover,heatindex,season,household,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,cyber_cafe,school,college,cinema,crime,cluster
14,9,36,friday,1,night,23.913894,90.320686,ashulia,dhaka,dhaka,35,32,28,356,7.8,73,9,39,37,rainy,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
15,6,23,monday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,34,32,28,386,2.6,72,10,27,37,rainy,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
16,4,14,sunday,0,morning,23.913894,90.320686,ashulia,dhaka,dhaka,43,37,27,113,0.0,55,10,4,38,hot,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
17,2,7,sunday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,0.6,53,10,27,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
18,7,31,monday,0,evening,23.793708,90.453284,badda,dhaka,dhaka,35,33,29,356,10.3,70,9,44,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
19,5,19,tuesday,0,night,23.793708,90.453284,badda,dhaka,dhaka,36,33,28,386,2.3,71,10,45,38,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
20,9,37,sunday,0,noon,23.793708,90.453284,badda,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
21,8,31,thursday,0,night,23.793708,90.453284,badda,dhaka,dhaka,33,31,26,386,2.1,78,10,37,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
22,1,3,thursday,0,night,23.793708,90.453284,badda,dhaka,dhaka,30,25,18,113,0.0,51,10,0,24,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
23,7,31,monday,0,evening,23.793708,90.453284,badda,dhaka,dhaka,35,33,29,356,10.3,70,9,44,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
24,7,29,saturday,1,night,23.793708,90.453284,badda,dhaka,dhaka,35,32,28,353,1.1,73,10,40,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
25,4,16,sunday,0,afternoon,23.793708,90.453284,badda,dhaka,dhaka,35,32,27,356,12.3,69,9,42,37,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
26,3,12,monday,0,night,23.793708,90.453284,badda,dhaka,dhaka,34,30,24,176,1.2,42,10,19,29,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
27,11,44,saturday,1,night,23.716838,90.405322,bangshal,dhaka,dhaka,24,24,23,302,28.0,94,8,76,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,4
28,1,4,monday,0,night,23.81851,90.41513,baridhara,dhaka,dhaka,31,27,21,113,0.0,44,10,0,27,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
29,1,1,saturday,1,evening,23.913894,90.320686,ashulia,dhaka,dhaka,29,23,18,116,0.0,49,10,12,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
30,1,4,tuesday,0,night,23.784506,90.403409,bhasantek,dhaka,dhaka,32,27,21,113,0.0,43,10,0,27,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,5
31,6,26,wednesday,0,night,23.728907,90.417137,bhatara,dhaka,dhaka,36,33,29,119,0.0,69,10,39,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
32,3,9,sunday,0,night,23.765913,90.426541,banasree,dhaka,dhaka,36,31,24,116,0.0,48,10,11,31,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,6
33,8,34,friday,1,night,23.716838,90.405322,bongshal,dhaka,dhaka,34,32,28,353,7.9,73,10,34,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,4
34,10,40,sunday,0,night,23.7268465,90.3922105,bangladesh university of engineering and technology,dhaka,dhaka,33,31,27,176,4.4,74,10,27,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
35,5,21,monday,0,night,23.81039,90.406568,cantonment,dhaka,dhaka,32,31,27,359,35.7,77,7,22,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
36,11,46,tuesday,0,morning,23.717677,90.394341,chawkbazar,dhaka,dhaka,32,29,25,113,0.0,60,10,1,30,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,7
37,6,24,saturday,1,noon,23.728907,90.417137,uttarkhan,dhaka,dhaka,37,33,29,386,13.9,77,9,17,41,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
38,1,3,tuesday,0,night,23.865506,90.413772,dakkhinkhan,dhaka,dhaka,27,24,20,113,0.0,49,10,1,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,8
39,8,34,thursday,0,night,23.785337,90.342439,darus salam,dhaka,dhaka,34,32,28,359,27.2,71,8,38,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,9
40,3,10,tuesday,0,night,23.785337,90.342439,darus salam,dhaka,dhaka,35,32,26,116,0.0,33,10,16,29,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,9
41,2,5,thursday,0,night,23.721686,90.497766,demra,dhaka,dhaka,30,26,19,113,0.0,55,10,1,24,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,10
42,2,5,thursday,0,night,23.721686,90.497766,demra,dhaka,dhaka,30,26,19,113,0.0,55,10,1,24,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,10
43,3,11,friday,1,morning,23.881433,90.2683015,dhaka university,dhaka,dhaka,36,32,25,113,0.0,41,10,8,32,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,11
44,9,35,sunday,0,night,23.90833,90.21667,dhamrai,dhaka,dhaka,37,34,29,176,3.1,67,9,36,40,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder,12
45,6,25,friday,1,morning,23.90833,90.21667,dhamrai,dhaka,dhaka,36,33,29,353,0.8,68,10,32,38,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder,12
46,7,31,monday,0,night,23.90833,90.21667,dhamrai,dhaka,dhaka,34,32,28,176,3.8,73,10,48,37,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder,12
47,6,25,wednesday,0,morning,23.90833,90.21667,dhamrai,dhaka,dhaka,38,35,30,116,0.6,65,10,18,42,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder,12
48,6,25,wednesday,0,morning,23.90833,90.21667,dhamrai,dhaka,dhaka,38,35,30,116,0.6,65,10,18,42,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder,12
49,2,7,wednesday,0,night,23.90833,90.21667,dhamrai,dhaka,dhaka,32,27,20,113,0.0,37,10,4,25,winter,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder,12
50,5,19,sunday,0,night,23.744806,90.373922,dhanmondi,dhaka,dhaka,37,34,29,386,5.1,66,9,47,39,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,13
51,1,4,friday,1,night,23.744806,90.373922,dhanmondi,dhaka,dhaka,29,25,19,113,0.0,38,10,0,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,13
52,1,2,monday,0,night,23.5958,90.1222,domar,dhaka,dhaka,30,26,21,113,0.0,47,10,0,26,winter,49400,107041,119398,226439,90,4.56,1402,57.5,672,32,0,2,0,21,2,2,murder,-1
53,2,8,wednesday,0,evening,23.700508,90.451953,donia,dhaka,dhaka,31,27,22,176,3.4,54,10,17,28,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
54,7,28,friday,1,night,23.78241147,90.33740957,gabtoli,dhaka,dhaka,34,31,26,353,1.7,77,10,36,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,14
55,6,23,saturday,1,morning,23.7917,90.4167,gulshan,dhaka,dhaka,36,34,29,356,3.5,65,9,29,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,15
56,10,44,tuesday,0,night,23.740038,90.35886,hazaribagh,dhaka,dhaka,31,27,22,116,0.0,75,10,17,29,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,16
57,9,36,monday,0,evening,23.740038,90.35886,hazaribagh,dhaka,dhaka,35,33,28,356,13.9,68,9,29,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,16
58,4,14,wednesday,0,night,23.70637,90.41431,hrishikesh das lane,dhaka,dhaka,37,32,26,386,6.9,75,10,28,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
59,10,40,sunday,0,night,23.728907,90.417137,ibrahimpur,dhaka,dhaka,34,31,26,116,0.1,58,10,19,33,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
60,8,32,sunday,0,night,23.784506,90.403409,islambagh,dhaka,dhaka,36,33,28,200,0.4,70,10,31,40,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,5
61,7,30,sunday,0,night,23.714039,90.450656,jatrabari,dhaka,dhaka,33,30,26,353,0.9,79,10,71,34,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
62,6,25,friday,1,night,23.714039,90.450656,jatrabari,dhaka,dhaka,35,33,29,119,1.0,69,10,34,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
63,1,2,monday,0,night,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,21,113,0.0,48,10,0,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
64,2,6,sunday,0,evening,23.714039,90.450656,jatrabari,dhaka,dhaka,29,24,17,113,0.0,46,10,7,23,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
65,4,17,thursday,0,night,23.714039,90.450656,jatrabari,dhaka,dhaka,36,32,26,356,8.2,74,9,44,35,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
66,4,16,thursday,0,evening,23.714039,90.450656,jatrabari,dhaka,dhaka,36,33,27,176,7.6,65,9,13,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
67,2,7,monday,0,noon,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,19,113,0.0,39,10,7,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
68,5,20,friday,1,night,23.714039,90.450656,jatrabari,dhaka,dhaka,37,34,28,356,10.1,70,9,21,40,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
69,6,22,thursday,0,morning,23.714039,90.450656,jatrabari,dhaka,dhaka,34,32,28,359,50.4,78,6,32,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
70,2,7,sunday,0,morning,23.728907,90.417137,jurain,dhaka,dhaka,37,32,25,113,0.0,35,10,15,30,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
71,8,34,saturday,1,morning,23.7931,90.3861,kafrul,dhaka,dhaka,29,28,26,386,19.1,86,8,58,32,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,18
72,4,17,monday,0,evening,23.747314,90.386673,kalabagan,dhaka,dhaka,37,34,29,386,3.1,65,10,17,38,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,19
73,5,18,thursday,0,afternoon,23.777843,90.361078,kalyanpur,dhaka,dhaka,35,33,28,353,13.8,63,9,30,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
74,6,23,sunday,0,morning,23.784506,90.403409,kamrangirchar,dhaka,dhaka,32,31,29,356,13.3,78,9,59,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,5
75,12,49,friday,1,night,23.737146,90.410583,karail,dhaka,dhaka,29,26,20,113,0.0,55,10,2,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,20
76,4,18,monday,0,morning,23.68333,90.33333,keraniganj,dhaka,dhaka,33,30,26,386,36.5,75,8,29,33,hot,177970,421809,372551,794360,113,4.42,4760,58.5,827,8,0,4,35,34,6,5,murder,21
77,6,26,friday,1,evening,23.752027,90.421808,khilgaon,dhaka,dhaka,33,31,27,356,8.8,75,9,37,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,22
78,1,1,thursday,0,night,23.752027,90.421808,khilgaon,dhaka,dhaka,29,25,20,113,0.0,44,10,0,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,22
79,5,19,friday,1,morning,23.752027,90.421808,khilgaon,dhaka,dhaka,38,35,29,386,3.7,59,10,24,39,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,22
80,1,2,monday,0,night,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,21,113,0.0,48,10,0,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,17
81,5,18,wednesday,0,night,23.728907,90.417137,kuril,dhaka,dhaka,34,32,26,356,15.8,63,8,27,34,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
82,8,35,saturday,1,night,23.721427,90.375435,lalbagh,dhaka,dhaka,35,33,29,356,5.5,70,9,40,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,23
83,7,29,friday,1,night,23.721427,90.375435,lalbagh,dhaka,dhaka,34,32,28,356,7.1,73,9,23,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,23
84,5,19,saturday,1,night,23.793708,90.453284,badda,dhaka,dhaka,37,34,28,116,0.4,54,10,24,37,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,3
85,2,7,wednesday,0,morning,23.728907,90.417137,malibagh,dhaka,dhaka,32,28,20,113,0.0,37,10,4,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
86,8,35,monday,0,morning,23.728907,90.417137,malibagh,dhaka,dhaka,33,31,27,176,3.7,77,10,33,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
87,8,35,monday,0,morning,23.728907,90.417137,malibagh,dhaka,dhaka,33,31,27,176,3.7,77,10,33,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
88,12,51,friday,1,evening,23.729159,90.441764,manda,dhaka,dhaka,27,23,18,113,0.0,53,10,0,23,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
89,3,10,sunday,0,night,23.805381,90.374565,mirpur,dhaka,dhaka,30,27,21,116,0.0,61,10,21,26,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
90,4,18,monday,0,morning,23.805381,90.374565,mirpur,dhaka,dhaka,33,30,26,386,36.5,75,8,29,33,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
91,5,18,friday,1,afternoon,23.805381,90.374565,mirpur,dhaka,dhaka,40,34,28,200,0.1,59,10,13,37,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
92,8,33,tuesday,0,night,23.805381,90.374565,mirpur,dhaka,dhaka,34,32,27,386,8.1,74,10,43,37,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
93,9,37,sunday,0,noon,23.805381,90.374565,mirpur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
94,1,2,monday,0,morning,23.805381,90.374565,mirpur,dhaka,dhaka,31,26,21,113,0.0,48,10,0,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
95,9,37,sunday,0,noon,23.805381,90.374565,mirpur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
96,11,46,tuesday,0,night,23.805381,90.374565,mirpur,dhaka,dhaka,32,29,25,113,0.0,60,10,1,30,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
97,2,5,tuesday,0,night,23.805381,90.374565,mirpur,dhaka,dhaka,29,26,20,113,0.0,55,10,6,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,24
98,8,31,thursday,0,noon,23.754232,90.410831,moghbazar,dhaka,dhaka,33,31,26,386,2.1,78,10,37,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,25
99,2,8,sunday,0,morning,23.784506,90.403409,mohakhali,dhaka,dhaka,36,31,24,113,0.0,43,10,6,30,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,5
100,7,29,wednesday,0,morning,23.784506,90.403409,mohakhali,dhaka,dhaka,30,28,26,356,6.1,88,10,80,32,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,5
101,9,36,wednesday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,1.2,77,10,41,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,26
102,9,37,wednesday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,1.8,74,10,30,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,26
103,9,36,wednesday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,1.2,77,10,41,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,26
104,8,33,monday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,386,4.3,77,10,48,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,26
105,8,32,thursday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,33,31,27,356,5.0,78,9,35,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,26
106,10,43,thursday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,21,21,21,308,22.7,85,8,70,24,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,26
107,1,52,sunday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,32,26,19,113,0.0,57,10,2,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,26
108,10,43,thursday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,21,21,21,308,22.7,85,8,70,24,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,26
109,9,37,sunday,0,noon,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
110,9,37,sunday,0,noon,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
111,9,37,sunday,0,noon,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
112,6,25,thursday,0,night,23.784506,90.403409,mugda,dhaka,dhaka,36,34,29,353,6.3,67,10,38,40,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,5
113,3,10,thursday,0,noon,23.728907,90.417137,nakhalpara,dhaka,dhaka,35,30,22,113,0.0,29,10,0,28,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
114,2,8,wednesday,0,afternoon,23.7350915,90.3842575,new market,dhaka,dhaka,32,28,22,176,2.0,71,10,39,28,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,27
115,2,7,friday,1,night,23.7350915,90.3842575,new market,dhaka,dhaka,34,28,21,116,0.0,41,10,11,27,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,27
116,5,19,tuesday,0,evening,23.77337857,90.4097081,niketan,dhaka,dhaka,36,33,28,386,2.3,71,10,45,38,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
117,7,30,thursday,0,night,23.794413,90.413735,old dhaka,dhaka,dhaka,33,31,27,356,19.1,79,8,69,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,28
118,5,18,monday,0,night,23.794413,90.413735,old dhaka,dhaka,dhaka,35,32,27,353,17.2,68,9,24,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,28
